word, translation
emporter,carry
exprimer,Express
rouler,roll
posséder,own
réveiller,wake
aider,help
découvrir,discover
choisir,to choose
prononcer,pronounce
taire,to hush up
rêver,dream
appuyer,to press
étendre,to expand
trembler,to shiver
défendre,defend
créer,create
maintenir,maintain
indiquer,indicate
promettre,to promise
relever,raise
abandonner,to abandon
ignorer,ignore
accompagner,to accompany
adresser,address
observer,watch
séparer,to separate
marier,marry
prévoir,provide
amener,lead
obliger,force
éclairer,light
poursuivre,to pursue
livrer,deliver
contenir,contain
fuir,to run away
couler,flow
proposer,to propose
éprouver,experience
retenir,hold back
attacher,to attach
voler,steal
entraîner,train
surprendre,surprise
briser,to break
imaginer,imagine
diriger,lead
parvenir,reach
pénétrer,enter
remarquer,note
éviter,to avoid
établir,establish
réussir,succeed
pencher,lean
habiter,to live
entourer,surround
déclarer,to declare
étonner,astound
dresser,to draw up
durer,last
fixer,to stare
désirer,to desire
arracher,snatch
soutenir,support
couper,cut
examiner,look
douter,doubt
retirer,remove
promener,to walk
forcer,force
revoir,meet again
remplir,fill
terminer,finish
tenter,try
remonter,ride up
installer,install
soulever,raise
allumer,light up
imposer,impose
respirer,breathe
baisser,lower
souffler,blow
attirer,attract
prêter,to lend
amuser,amuse
éclater,to burst
réunir,reunite
traiter,treat
engager,to hire
traîner,drag
employer,to employ
marquer,to mark
prouver,to prove
importer,import
exiger,require
reposer,rest
danser,dance
saluer,greet
accorder,grant
achever,finish
avouer,confess
distinguer,to distinguish
emmener,bring
agiter,shake
hésiter,hesitate
sonner,ring
composer,compose
enlever,to take off
rejoindre,rejoin
ramener,bring back
étudier,to study
partager,share
chasser,hunt
interrompre,interrupt
éloigner,remove
réduire,reduce
éteindre,switch off
recommencer,restart
sauter,jump
plaindre,complain
préférer,prefer
révéler,reveal
subir,undergo
rapporter,report
coûter,cost
réfléchir,reflect
remercier,thank
déposer,deposit
fumer,to smoke
affirmer,to affirm
convenir,suit
vêtir,dress
accomplir,accomplish
résoudre,solve
plonger,plunge
détruire,destroy
intéresser,to interest
disposer,dispose
lisser,smooth
verser,pay
obéir,to obey
lutter,Wrestle
prétendre,claim
construire,to build
soumettre,submit
peser,weigh
troubler,to disrupt
répandre,spread
résister,resist
protéger,protect
enfermer,lock
creuser,dig
grandir,grow
enfoncer,to press in
envelopper,to wrap up
prévenir,prevent
inspirer,Inspire
ramasser,to pick up
endormir,asleep
inventer,invent
presser,press
confier,entrust
effacer,to erase
reculer,retreat
user,wear
nourrir,feed
remplacer,replace
souhaiter,wish
signer,sign
interroger,question
dominer,dominate
commander,order
supposer,assume
dépasser,exceed
accuser,to accuse
habiller,dress
condamner,condemn
menacer,threaten
écraser,to crush
céder,yield
écarter,spread
réclamer,claim
dessiner,draw
conclure,conclude
lier,bind
admettre,admit
attaquer,attack
respecter,respect
pendre,hang
supporter,support
figurer,figure
profiter,enjoy
accrocher,to hook
calmer,calm
satisfaire,satisfied
valoir,to be worth
signifier,mean
inquiéter,worry
assister,assist
inviter,invite
déchirer,tear
risquer,risk
parcourir,Browse
rejeter,to reject
renoncer,renounce
veiller,watch
transformer,transform
tracer,draw
contenter,please
mériter,merit
précipiter,precipitate
rompre,to break up
caresser,caress
étouffer,to choke
animer,animate
casser,break
fonder,found
franchir,cross
abattre,tear down
discuter,discuss
fatiguer,tired
consentir,consent
regretter,to regret
joindre,join
vaincre,overcome
consulter,to consult
haïr,hate
repousser,repel
exécuter,perform
exposer,exhibit
voyager,travel
renverser,overthrow
rassurer,to reassure
retomber,drop
décrire,to describe
mentir,lie
armer,arm
étaler,spread
essuyer,wipe
précéder,precede
désigner,designate
détacher,detach
recueillir,collect
croiser,cross
entretenir,maintain
surveiller,monitor
réserver,Reserve
confondre,confuse
dégager,free
